//first line
0,YOU ARE SITTING IN FRONT OF A COMPUTER LEARNING JAVA.
Q,0
1,YOU ARE STANDING AT THE END OF A ROAD BEFORE A SMALL BRICK BUILDING. AROUND YOU IS A FOREST. A SMALL STREAM FLOWS OUT OF THE BUILDING AND DOWN A GULLY.
Q,0
W,2
U,2
E,3
S,4
D,4
N,5
2,YOU HAVE WALKED UP A HILL, STILL IN THE FOREST. THE ROAD SLOPES BACK DOWN THE OTHER SIDE OF THE HILL. THERE IS A BUILDING IN THE DISTANCE.
Q,0
E,1
S,5
3,YOU ARE INSIDE A BUILDING, A WELL HOUSE FOR A LARGE SPRING.
Q,0
W,1
4,YOU ARE IN A VALLEY IN THE FOREST BESIDE A STREAM TUMBLING ALONG A ROCKY BED.
Q,0
N,1
E,5
W,5
U,5
S,7
D,7
5,YOU ARE IN OPEN FOREST, WITH A DEEP VALLEY TO ONE SIDE.
Q,0
E,4
D,4
W,5
S,5
N,6
6,YOU ARE IN OPEN FOREST NEAR BOTH A VALLEY AND A ROAD.
Q,0
N,1
E,4
W,4
D,4
S,5
7,AT YOUR FEET ALL THE WATER OF THE STREAM SPLASHES INTO A 2-INCH SLIT IN THE ROCK. DOWNSTREAM THE STREAMBED IS BARE ROCK.
Q,0
N,4
E,5
W,5
S,8
8,YOU ARE IN A 20-FOOT DEPRESSION FLOORED WITH BARE DIRT. SET INTO THE DIRT IS A STRONG STEEL GRATE MOUNTED IN CONCRETE. A DRY STREAMBED LEADS INTO THE DEPRESSION.
Q,0
E,5
W,5
S,5
N,7
9,YOU ARE IN A SMALL CHAMBER BENEATH A 3X3 STEEL GRATE TO THE SURFACE. A LOW CRAWL OVER COBBLES LEADS INWARD TO THE WEST.
Q,0
W,10
10,YOU ARE CRAWLING OVER COBBLES IN A LOW PASSAGE. THERE IS A DIM LIGHT AT THE EAST END OF THE PASSAGE.
Q,0
E,9
W,11
11,YOU ARE IN A DEBRIS ROOM FILLED WITH STUFF WASHED IN FROM THE SURFACE. A LOW WIDE PASSAGE WITH COBBLES BECOMES PLUGGED WITH MUD AND DEBRIS HERE, BUT AN AWKWARD CANYON LEADS UPWARD AND WEST. A NOTE ON THE WALL SAYS "MAGIC WORD XYZZY".
Q,0
E,10
U,12
W,12
12,YOU ARE IN AN AWKWARD SLOPING EAST/WEST CANYON.
Q,0
D,11
E,11
U,13
W,13
13,YOU ARE IN A SPLENDID CHAMBER THIRTY FEET HIGH. THE WALLS ARE FROZEN RIVERS OF ORANGE STONE. AN AWKWARD CANYON AND A GOOD PASSAGE EXIT FROM EAST AND WEST SIDES OF THE CHAMBER.
Q,0
E,12
W,14
14,AT YOUR FEET IS A SMALL PIT BREATHING TRACES OF WHITE MIST. AN EAST PASSAGE ENDS HERE EXCEPT FOR A SMALL CRACK LEADING ON.
Q,0
E,13
D,15
W,16
15,YOU ARE AT ONE END OF A VAST HALL STRETCHING FORWARD OUT OF SIGHT TO THE WEST. THERE ARE OPENINGS TO EITHER SIDE. NEARBY, A WIDE STONE STAIRCASE LEADS DOWNWARD. THE HALL IS FILLED WITH WISPS OF WHITE MIST SWAYING TO AND FRO ALMOST AS IF ALIVE. A COLD WIND BLOWS UP THE STAIRCASE. THERE IS A PASSAGE AT THE TOP OF A DOME BEHIND YOU.
Q,0
S,18
W,17
D,19
N,19
U,14
